"Age (Ma) calculated from oxygen isotopes (Miller et al., 2011)","Sealevel (m) calculated from oxygen isotopes (Miller et al., 2011)","Age (Ma) sea level calculated from oxygen isotopes (m) (Miller et al., 2005)","Sea Level (m) calculated from oxygen isotopes (Miller et al., 2005)","Age (BKSA95 Ma) sea level estimated  (Kominz et al., 2008)","Sea level (m) backstripped (Kominz et al., 2008) with lowstands left blank","Sea level (m) backstripped w/ estimated lowstand  (Kominz et al., 2008)","Age (GTS12 Ma) sea level estimated  (Kominz et al., 2008)","Age (BKSA95 Ma)
sea level estimated  (Miller et al., 2005)","Sea level (m) backstripped (Miller et al., 2005) with lowstands left blank","Sea level (m) backstripped w/ estimated lowstand  (Miller et al., 2005)","Age (GTS12 Ma)
sea level estimated  (Miller et al., 2005)","Age (Ma)
Haq et al. (1987)
0-244 Ma","Sea level
Haq et al. (1987)
0-244 Ma","Age (GTS12 Ma)
Haq et al. (1987)"
0,0,0,-1.6,9.7,-5.8,-5.8,9.7,7.5,7.79,7.79,7.5,0.15,1.26,0.15
0.001,0,0.005,-3.3,9.8,-5.6,-5.6,9.8,7.6,3.4,3.4,7.6,0.26,-79.63,0.26
0.002,3.3,0.01,-52.4,9.9,-5.4,-5.4,9.9,7.7,3.26,3.26,7.7,0.97,-78.92,0.97
0.003,-4,0.015,-120.4,10,-5.2,-5.2,10,7.8,3.13,3.13,7.8,1.08,1.39,1.08
0.004,-4.7,0.02,-122.2,10.1,-5,-5,10.1,7.9,3,3,7.9,1.19,11.33,1.19
0.005,-2,0.025,-99.1,10.2,-4.8,-4.8,10.2,8,2.86,2.86,8,1.29,18.02,1.29
0.006,-6.7,0.03,-102.6,10.3,-4.6,-4.6,10.3,8.1,3.19,3.19,8.1,1.43,19.51,1.43
0.007,-9.3,0.035,-91,10.4,,-10,10.4,8.2,2.8,2.8,8.2,1.59,13.09,1.59
0.008,-12.7,0.04,-85.7,10.5,,-18,10.5,8.3,7.61,7.61,8.3,1.66,-0.89,1.66
0.009,-10,0.045,-80.4,10.6,,-26,10.6,8.4,7.01,7.01,8.4,1.73,-73.65,1.73
0.01,-19.33,0.05,-75.3,10.7,,-30,10.7,8.5,6.47,6.47,8.5,1.75,-77.67,1.76
0.011,-24.67,0.055,-87.8,10.8,,-32,10.8,8.6,5.93,5.93,8.6,1.94,-79.54,1.94
0.012,-46,0.06,-76.1,10.9,,-32,10.9,8.7,11.32,11.32,8.7,2.04,-75.45,2.04
0.013,-55.33,0.065,-85.2,11,,-30,11,8.8,10.98,10.98,8.8,2,-2.69,2.01
0.014,-70,0.07,-57.9,11.1,,-26,11.1,8.9,0.21,0.21,8.9,2.07,6.17,2.07
0.015,-84,0.075,-52.9,11.2,,-20,11.2,9,-0.09,-0.09,9,2.24,16.42,2.25
0.016,-101.33,0.08,-47.4,11.3,,-10,11.3,9.1,-0.26,-0.26,9.1,2.39,7.73,2.39
0.017,-110,0.085,-49,11.4,,0,11.4,9.2,-0.52,-0.52,9.2,2.42,-3.54,2.42
0.018,-119.33,0.09,-55.1,11.5,5.9,5.9,11.5,9.3,-0.77,-0.77,9.3,2.46,-64.17,2.46
0.019,-115.33,0.095,-50.6,11.6,10.4,10.4,11.6,9.4,-1.03,-1.03,9.4,2.54,-71.55,2.54
0.02,-117.33,0.1,-39.2,11.7,13.3,13.3,11.7,9.5,,-12,9.5,2.61,-67.02,2.62
0.021,-112,0.105,-42.8,11.8,15.3,15.3,11.8,9.6,-0.27,-0.27,9.6,2.71,-60.11,2.71
0.022,-110,0.11,-72.4,11.9,5.4,5.4,11.9,9.7,-0.73,-0.73,9.7,2.77,-24.61,2.77
0.023,-108.67,0.115,-4.3,12,5.4,5.4,12,9.8,-4.87,-4.87,9.8,2.84,10.99,2.85
0.024,-105.33,0.12,24,12.1,4.1,4.1,12.1,9.9,-5.03,-5.03,9.9,2.86,15.86,2.87
0.025,-106,0.125,-1.9,12.2,-3.3,-3.3,12.2,10,-5.19,-5.19,10,2.98,16.48,2.99
0.026,-96,0.13,-76.3,12.3,-3.5,-3.5,12.3,10.1,-5.35,-5.35,10.1,3.08,11.37,3.09
0.027,-101.33,0.135,-96.9,12.4,-1.9,-1.9,12.4,10.2,-5.51,-5.51,10.2,3.16,-62.69,3.16
0.028,-101.33,0.14,-107.7,12.5,-0.4,-0.4,12.5,10.3,-5.66,-5.66,10.3,3.14,-68.1,3.14
0.029,-100,0.145,-97,12.6,,-13,12.6,10.4,-3.97,-3.97,10.4,3.16,-72.97,3.16
0.03,-92.67,0.15,-93.9,12.7,7.3,7.3,12.7,10.5,-4.44,-4.44,10.5,3.27,-75.06,3.27
0.031,-92.67,0.155,-102.2,12.8,2.5,2.5,12.8,10.6,,-5,10.6,3.38,-69.66,3.38
0.032,-91.33,0.16,-90.3,12.9,2.5,2.5,12.9,10.7,,-9,10.7,3.43,-62.53,3.43
0.033,-90,0.165,-78.5,13,4,4,13,10.8,,-10,10.8,3.54,28.06,3.54
0.034,-90.67,0.17,-67.8,13.1,5.6,5.6,13.1,10.9,,-9,10.9,3.59,41.15,3.6
0.035,-87.33,0.175,-72,13.2,7.2,7.2,13.2,11,,0,11,3.64,51.32,3.64
0.036,-81.33,0.18,-81.7,13.3,9.1,9.1,13.3,11.1,,20,11.1,3.75,54.76,3.75
0.037,-82,0.185,-45.3,13.4,5.8,5.8,13.4,11.2,20,20,11.2,3.82,55.07,3.83
0.038,-78.67,0.19,-49,13.5,9.1,9.1,13.5,11.3,21.12,21.12,11.3,3.92,46.17,3.92
0.039,-88,0.195,-18.2,13.6,12.3,12.3,13.6,11.4,20.01,20.01,11.4,3.99,31,3.99
0.04,-88,0.2,-34.2,13.7,15.7,15.7,13.7,11.5,18.9,18.9,11.5,4.1,-20.33,4.1
0.041,-85.33,0.205,-17.6,13.8,19.8,19.8,13.8,11.6,17.79,17.79,11.6,4.11,-25.97,4.11
0.042,-84.67,0.21,-13.4,13.9,20.9,20.9,13.9,11.7,16.68,16.68,11.7,4.19,-27.83,4.2
0.043,-82,0.215,-7.3,14,22.9,22.9,14,11.8,15.57,15.57,11.8,4.27,-21.99,4.27
0.044,-83.33,0.22,-23.6,14.1,24.9,24.9,14.1,11.9,14.46,14.46,11.9,4.34,-14.32,4.34
0.045,-73.33,0.225,-74.1,14.2,26.8,26.8,14.2,12,-1.86,-1.86,12,4.36,1.59,4.36
0.046,-75.33,0.23,-68.3,14.3,17,17,14.3,12.1,-1.98,-1.98,12.1,4.34,61.46,4.34
0.047,-76.67,0.235,-59.5,14.4,15.1,15.1,14.4,12.2,-2.1,-2.1,12.2,4.4,67.62,4.4
0.048,-81.33,0.24,-28.6,14.5,14.1,14.1,14.5,12.3,-2.23,-2.23,12.3,4.44,69.67,4.45
0.049,-82,0.245,-60.3,14.6,13,13,14.6,12.4,-3.08,-3.08,12.4,4.51,68.14,4.51
0.05,-74,0.25,-66.8,14.7,12,12,14.7,12.5,-3.13,-3.13,12.5,4.63,70.39,4.63
0.051,-73.33,0.255,-85.4,14.8,,8,14.8,12.6,,-12,12.6,4.78,79.67,4.79
0.052,-72,0.26,-79.1,14.9,,-10,14.9,12.7,5.48,5.48,12.7,4.92,85.05,4.93
0.053,-80.67,0.265,-79.7,15,,-17,15,12.8,-1.71,-1.71,12.8,5.23,88.24,5.23
0.054,-76.67,0.27,-86,15.1,,-19,15.1,12.9,2.5,2.5,12.9,5.47,87.75,5.55
0.055,-72,0.275,-54.1,15.2,,-19,15.2,13,,2,13,5.65,83.82,5.73
0.056,-74.67,0.28,-43.4,15.3,,-17,15.3,13.1,,-7,13.1,5.71,71.9,5.78
0.057,-80,0.285,-39.3,15.4,,-10,15.4,13.2,,-8,13.2,5.83,-32.27,5.9
0.058,-84,0.29,-39.5,15.5,,0,15.5,13.3,,-7,13.3,5.86,-38.13,5.94
0.059,-80,0.295,-55.8,15.6,5.8,5.8,15.6,13.4,,-1,13.4,5.97,-42.81,6.04
0.06,-91.33,0.3,-45.8,15.7,6,6,15.7,13.5,-0.08,-0.08,13.5,6.12,-36.23,6.19
0.061,-85.33,0.305,-39.7,15.8,8.6,8.6,15.8,13.6,-0.2,-0.2,13.6,6.15,-28.23,6.23
0.062,-91.33,0.31,-34.8,15.9,9.3,9.3,15.8,13.7,-1.17,-1.17,13.7,6.18,28.5,6.25
0.063,-86.67,0.315,-23,16,6.5,6.5,15.9,13.8,-2.13,-2.13,13.8,6.34,34.31,6.41
0.064,-75.33,0.32,-31.4,16.1,2.9,2.9,16,13.9,,-1.5,13.9,6.44,35.37,6.51
0.065,-83.33,0.325,11.1,16.2,,-13,16.1,14,,-9,14,6.58,29.71,6.65
0.066,-89.33,0.33,-16.8,16.3,,-17,16.2,14.1,,-10,14.1,6.59,20.72,6.66
0.067,-80.67,0.335,-26,16.4,,-13,16.3,14.2,,-9,14.2,6.63,-18.48,6.7
0.068,-79.33,0.34,-83.1,16.5,4.5,4.5,16.4,14.3,,-1,14.3,6.73,-23.48,6.8
0.069,-82.67,0.345,-96.8,16.6,4.1,4.1,16.5,14.4,-0.59,-0.59,14.4,6.91,-26.22,6.97
0.07,-72.67,0.35,-92,16.7,4.4,4.4,16.6,14.5,-2.72,-2.72,14.5,7.01,-23.1,7.08
0.071,-66,0.355,-90.6,16.8,3.8,3.8,16.7,14.6,-4.85,-4.85,14.6,7.08,-18.13,7.15
0.072,-65.33,0.36,-104,16.9,-1.1,-1.1,16.8,14.7,-9.4,-9.4,14.7,7.11,-2.98,7.18
0.073,-66.67,0.365,-55.4,17,4.1,4.1,16.9,14.8,,-10,14.8,7.31,5.11,7.37
0.074,-53.33,0.37,-85.2,17.1,3.5,3.5,16.9,14.9,,-11,14.9,7.56,11.02,7.63
0.075,-48,0.375,-58.4,17.2,3.8,3.8,17,15,,-12,15,7.89,11.3,7.95
0.076,-55.33,0.38,-52.7,17.3,2.3,2.3,17.1,15.1,,-14,15.1,8.24,7.56,8.29
0.077,-56.67,0.385,-52.1,17.4,1.9,1.9,17.2,15.2,,-10,15.2,8.45,-2,8.51
0.078,-54.67,0.39,-31.9,17.5,1.6,1.6,17.3,15.3,,0,15.3,8.66,-16.32,8.72
0.079,-54.67,0.395,-30.6,17.6,2.8,2.8,17.4,15.4,,10,15.4,8.85,-21.87,8.9
0.08,-44.67,0.4,-9.5,17.7,2.6,2.6,17.5,15.5,,15,15.5,9.08,-24.18,9.13
0.081,-39.33,0.405,12.5,17.8,-14.6,-14.6,17.6,15.6,16.88,16.88,15.6,9.61,-24.48,9.65
0.082,-38,0.41,12.8,17.9,,-25,17.7,15.7,5.8,5.8,15.7,9.78,-19.1,9.82
0.083,-40,0.415,-0.2,18,,-25,17.8,15.8,1.86,1.86,15.8,9.97,-7.99,10.01
0.084,-39.33,0.42,-29.5,18.1,,-14,17.9,15.9,1.4,1.4,15.8,10.07,-2.4,10.12
0.085,-48,0.425,-84.7,18.2,,-3,18,16,0.93,0.93,15.9,10.22,-0.31,10.26
0.086,-55.33,0.43,-115.3,18.3,0.8,0.8,18,16.1,0.46,0.46,16,10.36,-0.8,10.41
0.087,-63.33,0.435,-122.1,18.4,0.8,0.8,18.1,16.2,,-14,16.1,10.46,-3.88,10.5
0.088,-58.67,0.44,-122.7,18.5,0.7,0.7,18.2,16.3,,-16,16.2,10.52,-12.78,10.56
0.089,-56.67,0.445,-102.4,18.6,0.7,0.7,18.3,16.4,,-14,16.3,10.76,-69.08,10.8
0.09,-55.33,0.45,-84.8,18.7,0.7,0.7,18.4,16.5,3.1,3.1,16.4,10.79,-75.59,10.83
0.091,-53.33,0.455,-87.5,18.8,0.7,0.7,18.5,16.6,7.22,7.22,16.5,10.86,-79.08,10.9
0.092,-50,0.46,-82.7,18.9,0.6,0.6,18.6,16.7,9.66,9.66,16.6,10.97,-75.56,11
0.093,-44.67,0.465,-99.9,19,0.6,0.6,18.7,16.8,8.49,8.49,16.7,10.99,-67.45,11.03
0.094,-40.67,0.47,-96.7,19.1,0.6,0.6,18.8,16.9,6.79,6.79,16.8,11.01,25.76,11.04
