site,age_smoothed_ka,sea_level_smoothed_m,
Vema 1930,980,-33.0,
Vema 1930,1000,-32.2,
Vema 1930,1020,-31.5,
Vema 1930,1040,-30.8,
Vema 1930,1060,-30.1,
Vema 1930,1080,-29.4,
Vema 1930,1100,-28.7,
Vema 1930,1120,-28.0,
Vema 1930,1140,-27.3,
Vema 1930,1160,-26.6,
Vema 1930,1180,-25.9,
Vema 1930,1200,-25.3,
Vema 1930,1220,-24.8,
Vema 1930,1240,-24.4,
Vema 1930,1260,-24.1,
Vema 1930,1280,-23.8,
Vema 1930,1300,-23.6,
Vema 1930,1320,-23.3,
Vema 1930,1340,-23.1,
Vema 1930,1360,-22.9,
Vema 1930,1380,-22.7,
Vema 1930,1400,-22.6,
Vema 1930,1420,-22.5,
Vema 1930,1440,-22.5,
Vema 1930,1460,-22.7,
Vema 1930,1480,-22.9,
Vema 1930,1500,-23.2,
Vema 1930,1520,-23.5,
Vema 1930,1540,-23.8,
Vema 1930,1560,-24.0,
Vema 1930,1580,-24.2,
Vema 1930,1600,-24.2,
Vema 1930,1620,-24.2,
Vema 1930,1640,-24.1,
Vema 1930,1660,-24.0,
Vema 1930,1680,-23.8,
Vema 1930,1700,-23.6,
Vema 1930,1720,-23.4,
Vema 1930,1740,-23.2,
Vema 1930,1760,-22.9,
Vema 1930,1780,-22.7,
Vema 1930,1800,-22.5,
Vema 1930,1820,-22.3,
Vema 1930,1840,-22.0,
Vema 1930,1860,-21.7,
Vema 1930,1880,-21.4,
Vema 1930,1900,-21.2,
Vema 1930,1920,-21.0,
Vema 1930,1940,-21.0,
Vema 1930,1960,-21.1,
Vema 1930,1980,-21.3,
Vema 1930,2000,-21.7,
Vema 1930,2020,-22.2,
Vema 1930,2040,-22.7,
Vema 1930,2060,-23.3,
Vema 1930,2080,-23.7,
Vema 1930,2100,-24.0,
Vema 1930,2120,-24.2,
Vema 1930,2140,-24.1,
Vema 1930,2160,-23.8,
Vema 1930,2180,-23.4,
Vema 1930,2200,-22.8,
Vema 1930,2220,-22.0,
Vema 1930,2240,-21.3,
Vema 1930,2260,-20.5,
Vema 1930,2280,-19.9,
Vema 1930,2300,-19.3,
Vema 1930,2320,-18.9,
Vema 1930,2340,-18.6,
Vema 1930,2360,-18.6,
Vema 1930,2380,-18.7,
Vema 1930,2400,-19.0,
Vema 1930,2420,-19.4,
Vema 1930,2440,-19.8,
Vema 1930,2460,-20.2,
Vema 1930,2480,-20.4,
Vema 1930,2500,-20.5,
Vema 1930,2520,-20.3,
Vema 1930,2540,-20.0,
Vema 1930,2560,-19.4,
Vema 1930,2580,-18.6,
Vema 1930,2600,-17.7,
Vema 1930,2620,-16.7,
Vema 1930,2640,-15.7,
Vema 1930,2660,-14.6,
Vema 1930,2680,-13.6,
Vema 1930,2700,-12.7,
Vema 1930,2720,-11.9,
Vema 1930,2740,-11.3,
Vema 1930,2760,-10.8,
Vema 1930,2780,-10.4,
Vema 1930,2800,-10.2,
Vema 1930,2820,-9.9,
Vema 1930,2840,-9.7,
Vema 1930,2860,-9.3,
Vema 1930,2880,-8.9,
Vema 1930,2900,-8.3,
Vema 1930,2920,-7.6,
Vema 1930,2940,-6.9,
Vema 1930,2960,-6.1,
Vema 1930,2980,-5.4,
Vema 1930,3000,-4.8,
Vema 1930,3020,-4.3,
Vema 1930,3040,-4.1,
Vema 1930,3060,-4.0,
Vema 1930,3080,-4.1,
Vema 1930,3100,-4.3,
Vema 1930,3120,-4.6,
Vema 1930,3140,-4.9,
Vema 1930,3160,-5.1,
Vema 1930,3180,-5.4,
Vema 1930,3200,-5.6,
Vema 1930,3220,-5.7,
Vema 1930,3240,-5.8,
Vema 1930,3260,-5.7,
Vema 1930,3280,-5.5,
Vema 1930,3300,-5.2,
Vema 1930,3320,-4.6,
